BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC
1419029594,신성태권도,22,태권도,41,경기,41480,파주시,경기 파주시 검산동 성원아파트,,41305,0319440357,신성태권도,2253866,2024,10,20241001,20241031,2,100000.00000
1419029594,신성태권도,22,태권도,41,경기,41480,파주시,경기 파주시 검산동 성원아파트,,41305,0319440357,신성태권도,2253866,2024,11,20241101,20241130,2,100000.00000
1429014212,창대태권도장,22,태권도,41,경기,41460,용인시,경기 용인시 처인구 삼가동 진우아파트,상가 2층 경희대석사 창대태권도,44971,0313353536,태권도,2344639,2024,09,20240901,20240930,0,150000.00000
1429014212,창대태권도장,22,태권도,41,경기,41460,용인시,경기 용인시 처인구 삼가동 진우아파트,상가 2층 경희대석사 창대태권도,44971,0313353536,태권도,2344639,2024,10,20241001,20241031,0,150000.00000
1449017006,야탑검도관,01,검도,41,경기,41130,성남시,경기 성남시 분당구 야탑동 155~186,174-4 금영빌딩3층 야탑검도관,46381,0317082999,야탑검도관,467,2024,10,20241001,20241031,1,150000.00000
1719000206,신월중앙태권도,22,태권도,48,경남,48120,창원시,경상남도 창원시 의창구 동산로185번길 29,신월중앙태권도(신월동),51441,,신월중앙태권도,2315595,2024,09,20240901,20240930,9,100000.00000
1719000206,신월중앙태권도,22,태권도,48,경남,48120,창원시,경상남도 창원시 의창구 동산로185번길 29,신월중앙태권도(신월동),51441,,신월중앙태권도,2315595,2024,10,20241001,20241031,6,100000.00000
1719000206,신월중앙태권도,22,태권도,48,경남,48120,창원시,경상남도 창원시 의창구 동산로185번길 29,신월중앙태권도(신월동),51441,,신월중앙태권도,2315595,2024,11,20241101,20241130,6,100000.00000
2049143986,동아태권도전문체육관,22,태권도,11,서울,11230,동대문구,서울 동대문구 청량리동 520-46호 2층,,13001,,동아태권도체육관,11722,2024,09,20240901,20240930,17,100000.00000
2049143986,동아태권도전문체육관,22,태권도,11,서울,11230,동대문구,서울 동대문구 청량리동 520-46호 2층,,13001,,동아태권도체육관,11722,2024,10,20241001,20241031,15,100000.00000
2049312342,최강체육관,22,태권도,11,서울,11260,중랑구,서울 중랑구 신내1동 중앙하이츠아파트,상가 202호,13178,024333694,태권도,10887,2024,09,20240901,20240930,0,100000.00000
2049312342,최강체육관,22,태권도,11,서울,11260,중랑구,서울 중랑구 신내1동 중앙하이츠아파트,상가 202호,13178,024333694,태권도,10887,2024,10,20241001,20241031,5,100000.00000
2049331238,권일태권도아카데미,22,태권도,11,서울,11260,중랑구,서울 중랑구 신내2동 신내9단지신내아파트 901-912,657번지,13178,0234221179,권일태권도,9448,2024,11,20241101,20241130,3,100000.00000
2051282901,챌린지짐,03,기타종목,27,대구,27170,서구,대구광역시 서구 서대구로 24,2층 챌린지짐(내당동),41865,0535669488,"주짓수, 킥복싱",2300552,2024,09,20240901,20240930,5,100000.00000
2051282901,챌린지짐,03,기타종목,27,대구,27170,서구,대구광역시 서구 서대구로 24,2층 챌린지짐(내당동),41865,0535669488,"주짓수, 킥복싱",2300552,2024,10,20241001,20241031,6,100000.00000
2051282901,챌린지짐,03,기타종목,27,대구,27170,서구,대구광역시 서구 서대구로 24,2층 챌린지짐(내당동),41865,0535669488,"주짓수, 킥복싱",2300552,2024,11,20241101,20241130,4,100000.00000
2101973214,정무체육관,03,기타종목,11,서울,11305,강북구,서울 강북구 미아4동 35~57,49-29,14280,029892379,킥복싱,282568,2024,09,20240901,20240930,5,100000.00000
2101973214,정무체육관,03,기타종목,11,서울,11305,강북구,서울 강북구 미아4동 35~57,49-29,14280,029892379,킥복싱,282568,2024,11,20241101,20241130,5,100000.00000
2109134764,연세미션태권도장,22,태권도,11,서울,11350,노원구,서울 노원구 섬밭로296. 403호 (하계동) 시영6단지 장미아파트 유치원상가,,13923,029743369,태권도,2282615,2024,11,20241101,20241130,0,150000.00000
2109160904,경찰태권도,22,태권도,11,서울,11305,강북구,서울특별시 강북구 오현로 72,258-112(미아동),14280,029884112,태권도수련,14627,2024,09,20240901,20240930,10,100000.00000
2109160904,경찰태권도,22,태권도,11,서울,11305,강북구,서울특별시 강북구 오현로 72,258-112(미아동),14280,029884112,태권도수련,14627,2024,10,20241001,20241031,1,100000.00000
2109165272,백운태권도,22,태권도,11,서울,11305,강북구,서울 강북구 수유1동 460~474,468-36,14288,029817406,태권도,2350540,2024,09,20240901,20240930,4,100000.00000
2109165272,백운태권도,22,태권도,11,서울,11305,강북구,서울 강북구 수유1동 460~474,468-36,14288,029817406,태권도,2350540,2024,10,20241001,20241031,3,100000.00000
2129120271,한양대천동체육관,22,태권도,11,서울,11740,강동구,서울 강동구 천호동 121-91호,1층,13402,,태권도,1,2024,09,20240901,20240930,2,100000.00000
